candidateId,value,universidad homologada
630665b8594e18004af057a3,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af057b0,Universidad Tecnologica Del Peru,Universidad Tecnologica del Peru S.A.C.
630665b8594e18004af057b7,Universidad Nacional De Huancavelica,Universidad Nacional de Huancavelica
630665b8594e18004af057d0,Universidad Privada Antenor Orrego,Universidad Privada Antenor Orrego
630665b8594e18004af057d8,Universidad Peruana Union,Universidad Peruana Union
630665b8594e18004af0581a,Universidad Norbert Wiener,Universidad Privada Norbert Wiener S.A.
630665b8594e18004af05827,Universidad Nacional San Antonio Abad Del Cusco,Universidad Nacional de San Antonio Abad del Cusco
630665b8594e18004af0582e,Universidad Nacional Mayor De San Marcos   Unmsm,Universidad Nacional Mayor de San Marcos
630665b8594e18004af05844,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af0584f,Universidad Cesar Vallejo,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af05884,Universidad Tecnologica Del Peru,Universidad Tecnologica del Peru S.A.C.
630665b8594e18004af058b5,Universidad Nacional De San Agustin,Universidad Nacional de San Agustin de Arequipa
630665b8594e18004af058be,Universidad Andina Del Cusco,Universidad Andina del Cusco
630665b8594e18004af058cd,Universidad Tecnologica Del Peru,Universidad Tecnologica del Peru S.A.C.
630665b8594e18004af058d6,Universidad Privada De Tacna,Universidad Privada de Tacna
630665b8594e18004af058e5,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af05904,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af05924,Universidad Cesar Vallejo,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af0592f,Universidad Femenina Del Sagrado Corazon   Unife,Universidad Femenina del Sagrado Corazon
630665b8594e18004af05938,Universidad Nacional Del Centro Del Peru,Universidad Nacional del Centro del Peru
630665b8594e18004af059a2,Universidad Cesar Vallejo,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af059ca,Universidad Peruana De Ciencias Aplicadas,Universidad Peruana de Ciencias Aplicadas S.A.C.
630665b8594e18004af059d1,Universidad Nacional De San Martin,Universidad Nacional de San Martin
630665b8594e18004af059dc,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af059f7,Universidad Nacional De La Amazonia Peruana,Universidad Nacional Intercultural de la Amazonia
630665b8594e18004af05a04,Universidad Peruana De Ciencias Aplicadas,Universidad Peruana de Ciencias Aplicadas S.A.C.
630665b8594e18004af05a2c,Universidad Tecnologica Del Peru,Universidad Tecnologica del Peru S.A.C.
630665b8594e18004af05a34,Universidad Nacional De La Amazonia Peruana,Universidad Nacional Intercultural de la Amazonia
630665b8594e18004af05a4b,Universidad Cesar Vallejo,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af05a7f,Universidad Andina Del Cusco,Universidad Andina del Cusco
630665b8594e18004af05a95,Universidad Cesar Vallejo,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af05abd,Universidad De San Martin De Porres   Usmp,Universidad de San Martin de Porres
630665b8594e18004af05ac6,Universidad Nacional De Tumbes,Universidad Nacional de Tumbes
630665b8594e18004af05ae4,Universidad Nacional De Frontera,Universidad Nacional de Frontera
